ATC_CORRECT,unstructured,structured,total,percent structured,percent unstructured
N01BB09,2966,126,3092,4.08,95.92
B05BB02,1955,1115,3070,36.32,63.68
J01XX01,167,2895,3062,94.55,5.45
N02AC03,476,2563,3039,84.34,15.66
N04BA11,191,2714,2905,93.43,6.57
C08CA08,529,2338,2867,81.55,18.45
C08CA13,425,2432,2857,85.12,14.88
L04AD02,357,2452,2809,87.29,12.71
B01AB10,2647,107,2754,3.89,96.11
A11CC04,493,2259,2752,82.09,17.91
N03AX12,837,1878,2715,69.17,30.83
B01AA04,769,1917,2686,71.37,28.63
A02BA02,2614,0,2614,0.0,100.0
N03AG01,887,1670,2557,65.31,34.69
A12CC04,2555,0,2555,0.0,100.0
B01AF03,789,1764,2553,69.1,30.9
J02AC01,266,2249,2515,89.42,10.58
J01DH02,1552,925,2477,37.34,62.66
C07AG02,78,2379,2457,96.83,3.17
N07XB52,132,2289,2421,94.55,5.45
B03BA01,1713,696,2409,28.89,71.11
B02BA01,208,2189,2397,91.32,8.68
J01FA09,493,1883,2376,79.25,20.75
A09AA02,511,1800,2311,77.89,22.11
C07AB12,158,2147,2305,93.15,6.85
N05AD01,637,1659,2296,72.26,27.74
V03AE01,247,2021,2268,89.11,10.89
N06AB04,2181,71,2252,3.15,96.85
A05AA02,106,2077,2183,95.14,4.86
J01XA01,911,1175,2086,56.33,43.67
V06XX02,2028,0,2028,0.0,100.0
L03AA10,539,1488,2027,73.41,26.59
R06AB03,676,1338,2014,66.43,33.57
N05AN01,268,1744,2012,86.68,13.32
C09AA02,126,1879,2005,93.72,6.28
J01FF01,293,1702,1995,85.31,14.69
R03AC02,1294,699,1993,35.07,64.93
N06AX16,198,1784,1982,90.01,9.99
H02AB09,452,1514,1966,77.01,22.99
C10AA04,959,989,1948,50.77,49.23
L04AA06,1557,382,1939,19.7,80.3
A12CC11,158,1746,1904,91.7,8.3
M01AH04,183,1622,1805,89.86,10.14
N03AX09,118,1653,1771,93.34,6.66
A07DA03,1600,165,1765,9.35,90.65
R03BB01,951,812,1763,46.06,53.94
C09DB01,793,960,1753,54.76,45.24
H02AB04,595,1093,1688,64.75,35.25
A10AB04,181,1497,1678,89.21,10.79
N05CD02,1498,143,1641,8.71,91.29
N04BA13,180,1426,1606,88.79,11.21
A06AD15,1603,0,1603,0.0,100.0
C02CA04,102,1446,1548,93.41,6.59
N06AX21,182,1360,1542,88.2,11.8
A03BB01,376,1159,1535,75.5,24.5
R05DA04,906,624,1530,40.78,59.22
V03AE02,1375,147,1522,9.66,90.34
R03BB04,0,1501,1501,100.0,0.0
B03XA02,159,1328,1487,89.31,10.69
L04AD01,436,1026,1462,70.18,29.82
A12CB05,85,1359,1444,94.11,5.89
M04AA03,1248,189,1437,13.15,86.85
A10BD07,0,1435,1435,100.0,0.0
N05AD05,1046,372,1418,26.23,73.77
C09AA03,165,1246,1411,88.31,11.69
D07AC18,1102,303,1405,21.57,78.43
R05CB06,453,949,1402,67.69,32.31
A06AB02,435,961,1396,68.84,31.16
A05BA17,99,1249,1348,92.66,7.34
A10AB05,133,1193,1326,89.97,10.03
A04AA01,148,1178,1326,88.84,11.16
C09BA25,102,1221,1323,92.29,7.71
A02AD02,81,1242,1323,93.88,6.12
H03BB02,407,902,1309,68.91,31.09
B05XA01,572,721,1293,55.76,44.24
R06AE07,520,749,1269,59.02,40.98
B05AA01,75,1182,1257,94.03,5.97
N02AX02,537,720,1257,57.28,42.72
N06AB10,236,982,1218,80.62,19.38
J01CF05,258,952,1210,78.68,21.32
A11EB01,181,1024,1205,84.98,15.02
A10AE05,121,1077,1198,89.9,10.1
C10AX09,559,630,1189,52.99,47.01
C09DA26,972,202,1174,17.21,82.79
C09CA07,79,1081,1160,93.19,6.81
A06AX01,257,901,1158,77.81,22.19
N02AE01,88,1045,1133,92.23,7.77
L03AA13,140,970,1110,87.39,12.61
G04BD09,0,1098,1098,100.0,0.0
M03BX01,0,1072,1072,100.0,0.0
R03CC03,109,943,1052,89.64,10.36
C10AA03,780,266,1046,25.43,74.57
P01AB01,853,176,1029,17.1,82.9
R03AL04,101,895,996,89.86,10.14
A02BC01,991,0,991,0.0,100.0
N05AX12,495,492,987,49.85,50.15
A10AC01,445,515,960,53.65,46.35
R01AA07,527,411,938,43.82,56.18
J01CE01,402,532,934,56.96,43.04
R03AK08,128,796,924,86.15,13.85
R04AX01,0,913,913,100.0,0.0
N03AF01,84,815,899,90.66,9.34
B03AC01,181,714,895,79.78,20.22
S01XC05,0,891,891,100.0,0.0
B05BB,887,0,887,0.0,100.0
N03AX18,0,862,862,100.0,0.0
H05BX01,120,732,852,85.92,14.08
J06BA02,100,739,839,88.08,11.92
A04AD12,722,103,825,12.48,87.52
A03FA03,685,133,818,16.26,83.74
B05XA02,0,814,814,100.0,0.0
A06AC01,0,807,807,100.0,0.0
H03BC02,90,711,801,88.76,11.24
R03AK07,0,796,796,100.0,0.0
C08CA05,113,682,795,85.79,14.21
V07AB10,270,508,778,65.3,34.7
N06DX01,84,688,772,89.12,10.88
G04CB01,77,658,735,89.52,10.48
R02AA56,513,217,730,29.73,70.27
A07EC02,0,728,728,100.0,0.0
A10BK03,0,718,718,100.0,0.0
A03AX13,0,703,703,100.0,0.0
C07AA05,102,601,703,85.49,14.51
N04BC05,96,605,701,86.31,13.69
A12AA04,558,137,695,19.71,80.29
R04AX03,0,694,694,100.0,0.0
M05BA04,179,513,692,74.13,25.87
V03AE07,0,682,682,100.0,0.0
J02AC03,178,496,674,73.59,26.41
J04AB02,0,664,664,100.0,0.0
N06DA03,0,660,660,100.0,0.0
B01AE07,0,652,652,100.0,0.0
M01AH01,0,650,650,100.0,0.0
N06AB03,565,78,643,12.13,87.87
D07AC14,0,641,641,100.0,0.0
R03AL06,0,640,640,100.0,0.0
C01DA02,92,534,626,85.3,14.7
N05CH01,472,143,615,23.25,76.75
C02AC01,0,614,614,100.0,0.0
J02AC04,198,403,601,67.05,32.95
C08CA02,0,600,600,100.0,0.0
N06AX05,472,126,598,21.07,78.93
R03BA02,0,590,590,100.0,0.0
N06AA05,227,362,589,61.46,38.54
A07FA02,0,588,588,100.0,0.0
H03CA01,463,122,585,20.85,79.15
A03FA05,345,236,581,40.62,59.38
B05BB13,0,579,579,100.0,0.0
N05BA09,0,575,575,100.0,0.0
C08DA01,0,567,567,100.0,0.0
R03AK06,0,556,556,100.0,0.0
S01XA12,0,555,555,100.0,0.0
A12AA20,553,0,553,0.0,100.0
S01BA01,0,543,543,100.0,0.0
J05AB14,0,542,542,100.0,0.0
A10BB12,0,541,541,100.0,0.0
N06AA09,87,450,537,83.8,16.2
C09DA23,345,187,532,35.15,64.85
A12CE02,0,532,532,100.0,0.0
H01AB01,0,527,527,100.0,0.0
N07AA02,0,523,523,100.0,0.0
N05CF02,519,0,519,0.0,100.0
A10AB06,0,511,511,100.0,0.0
C02DB01,0,510,510,100.0,0.0
N05CM22,147,363,510,71.18,28.82
C10BA02,322,179,501,35.73,64.27
L04AX01,0,500,500,100.0,0.0
C04AD03,0,500,500,100.0,0.0
N06DA02,400,96,496,19.35,80.65
M01CX01,290,202,492,41.06,58.94
C01EB17,407,83,490,16.94,83.06
L04AA18,0,483,483,100.0,0.0
A12CC02,0,465,465,100.0,0.0
C09CA08,0,451,451,100.0,0.0
R06AX26,158,291,449,64.81,35.19
N06AA12,284,159,443,35.89,64.11
A04AD01,0,438,438,100.0,0.0
B02AA02,0,437,437,100.0,0.0
C02DC01,0,433,433,100.0,0.0
V04CZ09,0,429,429,100.0,0.0
H03AA51,0,429,429,100.0,0.0
R03AC13,157,266,423,62.88,37.12
B05BA01,0,418,418,100.0,0.0
M01AB05,0,416,416,100.0,0.0
J01CA04,0,413,413,100.0,0.0
G04BC50,78,335,413,81.11,18.89
N06AX22,88,319,407,78.38,21.62
C03DA04,307,98,405,24.2,75.8
S01XA20,0,403,403,100.0,0.0
M04AC01,258,139,397,35.01,64.99
V03AF03,104,292,396,73.74,26.26
A07EA06,0,393,393,100.0,0.0
N05CD08,0,391,391,100.0,0.0
A06AG01,0,390,390,100.0,0.0
S01EE01,0,390,390,100.0,0.0
S01ED01,0,388,388,100.0,0.0
G04BD08,0,385,385,100.0,0.0
V07AB01,380,4,384,1.04,98.96
N03AF02,0,373,373,100.0,0.0
G01AF01,362,11,373,2.95,97.05
S01AE01,0,368,368,100.0,0.0
J01DH51,0,364,364,100.0,0.0
J01CA01,0,356,356,100.0,0.0
B05BC01,95,254,349,72.78,27.22
N06DX18,0,348,348,100.0,0.0
V03AE03,0,344,344,100.0,0.0
L01XX05,0,339,339,100.0,0.0
M02AA15,0,338,338,100.0,0.0
N01BB02,221,116,337,34.42,65.58
A07AA07,296,33,329,10.03,89.97
N03AE01,0,327,327,100.0,0.0
N04BB01,0,326,326,100.0,0.0
A02BX03,0,323,323,100.0,0.0
C01BD01,188,133,321,41.43,58.57
R06AX13,321,0,321,0.0,100.0
N04BC04,0,311,311,100.0,0.0
B03AC07,0,308,308,100.0,0.0
C09DX04,307,0,307,0.0,100.0
N05AL05,191,112,303,36.96,63.04
M05BA08,265,38,303,12.54,87.46
N02BA01,229,73,302,24.17,75.83
C09CA04,0,296,296,100.0,0.0
H01BA02,0,294,294,100.0,0.0
J01AA02,0,292,292,100.0,0.0
J01DD13,0,290,290,100.0,0.0
C09AA01,124,160,284,56.34,43.66
J01GB03,0,284,284,100.0,0.0
A02BA03,0,277,277,100.0,0.0
L01BC01,264,12,276,4.35,95.65
N05CM02,0,272,272,100.0,0.0
A12AA03,0,272,272,100.0,0.0
P01BA02,266,0,266,0.0,100.0
R03BA01,0,266,266,100.0,0.0
N02AC06,0,262,262,100.0,0.0
M03BX04,0,262,262,100.0,0.0
B03XA01,0,261,261,100.0,0.0
R01AX30,0,260,260,100.0,0.0
C09BA54,0,257,257,100.0,0.0
C01DA08,242,9,251,3.59,96.41
C01DX12,0,250,250,100.0,0.0
J01DD02,0,243,243,100.0,0.0
M03BX02,0,243,243,100.0,0.0
R03AL02,241,0,241,0.0,100.0
N02AF02,241,0,241,0.0,100.0
S01CA55,0,241,241,100.0,0.0
J01FA10,0,240,240,100.0,0.0
G04BD06,0,232,232,100.0,0.0
A07DA02,226,0,226,0.0,100.0
B05BA11,0,225,225,100.0,0.0
A07AA11,214,9,223,4.04,95.96
N07CA22,0,222,222,100.0,0.0
A11CC03,0,221,221,100.0,0.0
C09DA21,0,217,217,100.0,0.0
G04BC01,0,216,216,100.0,0.0
L01XA01,212,1,213,0.47,99.53
N03AB02,0,211,211,100.0,0.0
R03AL01,0,210,210,100.0,0.0
L02BA01,0,207,207,100.0,0.0
A10AD01,130,76,206,36.89,63.11
M01AH05,0,203,203,100.0,0.0
N06AX12,0,200,200,100.0,0.0
J01CE02,0,199,199,100.0,0.0
D04AB61,195,0,195,0.0,100.0
S01EC03,0,193,193,100.0,0.0
N04BD02,0,191,191,100.0,0.0
N01AX14,0,190,190,100.0,0.0
C05AD01,0,190,190,100.0,0.0
B05XC30,0,188,188,100.0,0.0
S01EC04,0,187,187,100.0,0.0
N05BB01,182,0,182,0.0,100.0
J01XX08,0,182,182,100.0,0.0
C10AX06,0,179,179,100.0,0.0
N03AX11,0,175,175,100.0,0.0
N03AX23,0,175,175,100.0,0.0
L02AE02,0,175,175,100.0,0.0
M05BA07,0,174,174,100.0,0.0
N05AA02,0,174,174,100.0,0.0
N06AA06,0,174,174,100.0,0.0
A10A,173,0,173,0.0,100.0
L02BB03,0,171,171,100.0,0.0
G04CB02,0,170,170,100.0,0.0
N02BA13,0,169,169,100.0,0.0
C09DA24,0,168,168,100.0,0.0
B01AC24,0,167,167,100.0,0.0
N07BB04,167,0,167,0.0,100.0
R03DC03,0,163,163,100.0,0.0
R03AL05,0,161,161,100.0,0.0
L01AA01,133,27,160,16.88,83.12
A11BA01,160,0,160,0.0,100.0
S01EE03,0,159,159,100.0,0.0
D04AA13,0,158,158,100.0,0.0
L01FA01,157,0,157,0.0,100.0
N04BC09,0,155,155,100.0,0.0
N06BX03,0,153,153,100.0,0.0
A01AD11,0,152,152,100.0,0.0
J01FA01,0,151,151,100.0,0.0
D06BB03,0,151,151,100.0,0.0
B05XA09,0,148,148,100.0,0.0
N03AA03,0,147,147,100.0,0.0
R03AC04,0,145,145,100.0,0.0
J05AH02,0,144,144,100.0,0.0
N06AF04,83,60,143,41.96,58.04
J01CR21,142,0,142,0.0,100.0
R05CB13,0,140,140,100.0,0.0
N06AX17,0,138,138,100.0,0.0
N05AL03,96,36,132,27.27,72.73
V08AA20,0,130,130,100.0,0.0
G04BA04,111,17,128,13.28,86.72
D08AC05,110,18,128,14.06,85.94
C09DA07,127,0,127,0.0,100.0
J01CA12,0,127,127,100.0,0.0
D01AA01,0,126,126,100.0,0.0
S01ED66,0,125,125,100.0,0.0
N07CA01,0,125,125,100.0,0.0
J01MA14,0,124,124,100.0,0.0
L01AA02,120,2,122,1.64,98.36
A10BF01,0,121,121,100.0,0.0
N04BX04,0,119,119,100.0,0.0
L01DB03,118,0,118,0.0,100.0
N05CM27,117,0,117,0.0,100.0
A11DB03,115,0,115,0.0,100.0
A10BB01,0,115,115,100.0,0.0
M05BX04,0,114,114,100.0,0.0
N06AB05,0,113,113,100.0,0.0
S01AD03,102,11,113,9.73,90.27
C10AC01,0,112,112,100.0,0.0
C02KX06,0,110,110,100.0,0.0
J05AB06,0,108,108,100.0,0.0
L01AA03,107,1,108,0.93,99.07
L01XA02,106,2,108,1.85,98.15
D01AC01,0,105,105,100.0,0.0
L01BA01,100,4,104,3.85,96.15
N02AB02,0,104,104,100.0,0.0
N06BC01,0,104,104,100.0,0.0
L02BG04,0,102,102,100.0,0.0
P01CX01,0,101,101,100.0,0.0
A02BX02,0,96,96,100.0,0.0
H01BA04,0,95,95,100.0,0.0
L01CA02,94,0,94,0.0,100.0
N05AF05,0,94,94,100.0,0.0
L01CB01,88,6,94,6.38,93.62
L01XD04,93,0,93,0.0,100.0
N04BD03,0,92,92,100.0,0.0
C03CA03,0,91,91,100.0,0.0
J01CA08,0,91,91,100.0,0.0
B01AC22,0,91,91,100.0,0.0
S01ED62,0,90,90,100.0,0.0
A06AH01,0,89,89,100.0,0.0
L01BC02,87,1,88,1.14,98.86
V06BA50,0,88,88,100.0,0.0
H02AA02,0,87,87,100.0,0.0
A07EF01,0,86,86,100.0,0.0
R05CA01,0,86,86,100.0,0.0
C10AB02,79,6,85,7.06,92.94
J01DD14,85,0,85,0.0,100.0
A11GA01,0,84,84,100.0,0.0
J05AB11,0,83,83,100.0,0.0
N02CC01,0,80,80,100.0,0.0
L01AX04,80,0,80,0.0,100.0
N07BB01,77,0,77,0.0,100.0
M01AE02,0,77,77,100.0,0.0
S01XC07,0,77,77,100.0,0.0
R06AX27,0,77,77,100.0,0.0
A03FP30,0,74,74,100.0,0.0
N07AA01,0,73,73,100.0,0.0
J01DD01,0,71,71,100.0,0.0
C02AB01,0,69,69,100.0,0.0
C09XA02,0,68,68,100.0,0.0
A11HA02,0,67,67,100.0,0.0
N03AX15,0,66,66,100.0,0.0
J02AX04,0,66,66,100.0,0.0
S01ED69,0,64,64,100.0,0.0
L02BG03,0,63,63,100.0,0.0
N06DP01,0,62,62,100.0,0.0
S01EC01,0,61,61,100.0,0.0
N06AG02,0,58,58,100.0,0.0
S01EA05,0,58,58,100.0,0.0
D01AE14,0,58,58,100.0,0.0
C02KX08,0,57,57,100.0,0.0
N05BA12,0,57,57,100.0,0.0
C03EA21,0,56,56,100.0,0.0
N05AF03,0,55,55,100.0,0.0
L01AX03,0,54,54,100.0,0.0
D07CC01,0,54,54,100.0,0.0
D07AB02,0,54,54,100.0,0.0
A03AB02,0,53,53,100.0,0.0
C01CA01,0,53,53,100.0,0.0
R01AX28,0,52,52,100.0,0.0
V08EA01,0,51,51,100.0,0.0
S01XA02,0,51,51,100.0,0.0
N04AA02,0,50,50,100.0,0.0
S01BA04,0,50,50,100.0,0.0
R03DA04,0,50,50,100.0,0.0
V03AF07,0,49,49,100.0,0.0
V03AF01,0,48,48,100.0,0.0
J01GB01,0,48,48,100.0,0.0
J04BA02,0,47,47,100.0,0.0
C01BC04,0,47,47,100.0,0.0
D07AC13,0,46,46,100.0,0.0
C01CA17,0,46,46,100.0,0.0
G02CB03,0,46,46,100.0,0.0
N05AE04,0,43,43,100.0,0.0
C03BA04,0,43,43,100.0,0.0
N03AX22,0,43,43,100.0,0.0
D01AC20,0,43,43,100.0,0.0
B05XA31,0,43,43,100.0,0.0
G04CA03,0,42,42,100.0,0.0
N07AB02,0,41,41,100.0,0.0
B05BA02,0,40,40,100.0,0.0
R05CB02,0,40,40,100.0,0.0
G03DA04,0,40,40,100.0,0.0
H05BA01,0,39,39,100.0,0.0
J01XE01,0,39,39,100.0,0.0
D06AX01,0,39,39,100.0,0.0
J05AD01,0,39,39,100.0,0.0
V04CZ10,0,38,38,100.0,0.0
D08AG02,0,38,38,100.0,0.0
V03AE17,0,37,37,100.0,0.0
L04AB01,0,36,36,100.0,0.0
D05AX02,0,36,36,100.0,0.0
J02AA01,0,36,36,100.0,0.0
A01AD69,0,36,36,100.0,0.0
R03AA01,0,35,35,100.0,0.0
N04BC08,0,35,35,100.0,0.0
D01AA91,0,35,35,100.0,0.0
P03AX10,0,34,34,100.0,0.0
D04AX07,0,34,34,100.0,0.0
J06BB01,0,34,34,100.0,0.0
D08AJ57,0,33,33,100.0,0.0
V03AB15,0,32,32,100.0,0.0
M01AB01,0,32,32,100.0,0.0
C01CA30,0,31,31,100.0,0.0
N05BA05,0,30,30,100.0,0.0
N04BC07,0,30,30,100.0,0.0
L04AB02,0,30,30,100.0,0.0
B05AA56,0,30,30,100.0,0.0
J04AC01,0,30,30,100.0,0.0
N06BA04,0,30,30,100.0,0.0
S01BC05,0,29,29,100.0,0.0
R01AD09,0,29,29,100.0,0.0
C04AG01,0,29,29,100.0,0.0
N05AL01,0,28,28,100.0,0.0
S01AA11,0,28,28,100.0,0.0
N05CP01,0,27,27,100.0,0.0
G03CA03,0,27,27,100.0,0.0
J04AK01,0,26,26,100.0,0.0
A06AG11,0,26,26,100.0,0.0
A03BA01,0,26,26,100.0,0.0
S01EB01,0,26,26,100.0,0.0
J06BB09,0,26,26,100.0,0.0
N04BX01,0,26,26,100.0,0.0
A01AB03,0,25,25,100.0,0.0
C01BD07,0,24,24,100.0,0.0
G01AF02,0,24,24,100.0,0.0
G03CD01,0,24,24,100.0,0.0
D02AE01,0,24,24,100.0,0.0
A07BA01,0,23,23,100.0,0.0
A07AA02,0,23,23,100.0,0.0
A10BX02,0,23,23,100.0,0.0
L01BB02,0,22,22,100.0,0.0
C01CA03,0,22,22,100.0,0.0
N04AA01,0,21,21,100.0,0.0
L04AC02,0,21,21,100.0,0.0
N04BX02,0,21,21,100.0,0.0
N03AA02,0,20,20,100.0,0.0
D07AD01,0,20,20,100.0,0.0
N06AA04,0,19,19,100.0,0.0
J04AK02,0,19,19,100.0,0.0
N07BB03,0,19,19,100.0,0.0
A02BB01,0,18,18,100.0,0.0
N02BA51,0,18,18,100.0,0.0
D10AF54,0,18,18,100.0,0.0
A10AD04,0,17,17,100.0,0.0
S01FA04,0,17,17,100.0,0.0
S01AA04,0,16,16,100.0,0.0
N06BA07,0,16,16,100.0,0.0
H02AB01,0,16,16,100.0,0.0
R04AP30,0,16,16,100.0,0.0
B05XA03,0,16,16,100.0,0.0
N07BB06,0,16,16,100.0,0.0
G04BP01,0,15,15,100.0,0.0
A01AE51,0,15,15,100.0,0.0
L01AA07,0,15,15,100.0,0.0
P01BD01,0,14,14,100.0,0.0
C08DB01,0,14,14,100.0,0.0
J05AP01,0,14,14,100.0,0.0
J01AA12,0,14,14,100.0,0.0
A11HA30,0,14,14,100.0,0.0
C01DA14,0,13,13,100.0,0.0
L01XC02,0,13,13,100.0,0.0
J02AC02,0,13,13,100.0,0.0
C05BA03,0,12,12,100.0,0.0
B01AD02,0,12,12,100.0,0.0
S01GX01,0,12,12,100.0,0.0
S01FA01,0,12,12,100.0,0.0
M01CC01,0,12,12,100.0,0.0
D07AC01,0,11,11,100.0,0.0
D03AX03,0,11,11,100.0,0.0
A01AP03,0,11,11,100.0,0.0
R07AA03,0,11,11,100.0,0.0
B01AB09,0,11,11,100.0,0.0
A02AD05,0,11,11,100.0,0.0
D02AB01,0,10,10,100.0,0.0
P03AC04,0,10,10,100.0,0.0
C01CA24,0,10,10,100.0,0.0
A07CA50,0,10,10,100.0,0.0
N01BB20,0,10,10,100.0,0.0
L01XX14,0,10,10,100.0,0.0
D11AH01,0,9,9,100.0,0.0
N03AX03,0,9,9,100.0,0.0
A03AB20,0,9,9,100.0,0.0
N05AB10,0,9,9,100.0,0.0
A12CC14,0,9,9,100.0,0.0
G03CA04,0,9,9,100.0,0.0
N01AH01,0,9,9,100.0,0.0
L01BC06,0,8,8,100.0,0.0
J01EC02,0,8,8,100.0,0.0
C03DA02,0,8,8,100.0,0.0
V03AB48,0,8,8,100.0,0.0
V08AB02,0,8,8,100.0,0.0
N05CC01,0,8,8,100.0,0.0
A11HA03,0,8,8,100.0,0.0
R02AP52,0,8,8,100.0,0.0
A07XP03,0,8,8,100.0,0.0
B05CB10,0,8,8,100.0,0.0
D05BB02,0,8,8,100.0,0.0
S01CA53,0,7,7,100.0,0.0
V07AB02,0,7,7,100.0,0.0
R02AD01,0,7,7,100.0,0.0
C01AA05,0,7,7,100.0,0.0
R03AC12,0,7,7,100.0,0.0
V03AB23,0,7,7,100.0,0.0
P02CA01,0,7,7,100.0,0.0
N05AF01,0,7,7,100.0,0.0
B01AD04,0,7,7,100.0,0.0
A02BA01,0,7,7,100.0,0.0
A11CC80,0,7,7,100.0,0.0
L01DB07,0,6,6,100.0,0.0
C01CE03,0,6,6,100.0,0.0
D08AX06,0,6,6,100.0,0.0
D11AH02,0,6,6,100.0,0.0
B05AA57,0,6,6,100.0,0.0
B01AC23,0,6,6,100.0,0.0
H01BB02,0,6,6,100.0,0.0
J01XB01,0,6,6,100.0,0.0
J07AM51,0,6,6,100.0,0.0
M02AH20,0,6,6,100.0,0.0
A16AA01,0,6,6,100.0,0.0
J07AJ52,0,6,6,100.0,0.0
A06AX02,0,6,6,100.0,0.0
M03CA01,0,6,6,100.0,0.0
N06AA21,0,6,6,100.0,0.0
L04AA24,0,6,6,100.0,0.0
C03BA11,0,6,6,100.0,0.0
S01BC03,0,5,5,100.0,0.0
J01DC04,0,5,5,100.0,0.0
C05AA61,0,5,5,100.0,0.0
S01EA03,0,5,5,100.0,0.0
V03AB14,0,5,5,100.0,0.0
S01XA28,0,5,5,100.0,0.0
R01AA05,0,5,5,100.0,0.0
C01BC03,0,5,5,100.0,0.0
D08AC52,0,5,5,100.0,0.0
H02AB58,0,5,5,100.0,0.0
B05BB14,0,5,5,100.0,0.0
G03BA03,0,5,5,100.0,0.0
V06DE01,0,4,4,100.0,0.0
L01BC05,0,4,4,100.0,0.0
V03AB25,0,4,4,100.0,0.0
J01CG01,0,4,4,100.0,0.0
B01AE03,0,4,4,100.0,0.0
L01DB02,0,4,4,100.0,0.0
G02CB01,0,4,4,100.0,0.0
D03AX79,0,4,4,100.0,0.0
B02BD31,0,4,4,100.0,0.0
R06AD02,0,4,4,100.0,0.0
D06BA01,0,4,4,100.0,0.0
D01AC52,0,4,4,100.0,0.0
D09AA02,0,4,4,100.0,0.0
N06DA04,0,4,4,100.0,0.0
J01GB06,0,4,4,100.0,0.0
C04AX21,0,4,4,100.0,0.0
L02AE03,0,4,4,100.0,0.0
D02AB51,0,4,4,100.0,0.0
B05BB12,0,3,3,100.0,0.0
N06AX03,0,3,3,100.0,0.0
L04AB04,0,3,3,100.0,0.0
